latitude,longitude,L1,L2,L3,L4,L5,L6,L7,LC_code
7.227265295860296,-1.125629895113794,Non vegetated,Terretrial non v,Natural surfaces,Rocks,Rocks,Rocks,Rocks,"10"
5.639454638081562,-0.223868062966914,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.999428401958266,0.291604314531717,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.693862468737894,-1.658627611443226,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
5.546820623213620,-0.257483314895083,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
5.973840549636630,-1.278608274963147,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.656418318968658,-1.521845517253175,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
5.633777234121584,-0.306411988244588,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
5.511709344399764,-0.513664297870236,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
9.856685570909065,-0.396800134919101,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
7.732568504534374,-2.620011734552371,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
5.753100680511678,0.005863395280517,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.779781728245674,-1.570228252262613,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.211109713407326,-1.682396837164521,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.352338666749274,-2.541595903547455,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
5.593312507701198,-0.302284257800706,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
6.658683159443570,-1.761529547581017,Non vegetated,Terretrial non v,Artificial surfa,Built-up,Built-up,Built-up,Built-up,"2"
9.454983000000000,0.224875494952289,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
